municipio,latitude,longitude
Arujá,-23.396476,-46.319983
Barueri,-23.505689,-46.879042
Biritiba-Mirim,-23.569774,-46.0407
Caieiras,-23.360729,-46.73974
Cajamar,-23.355014,-46.878146
Carapicuíba,-23.523471,-46.840676
Cotia,-23.602177,-46.91902
Diadema,-23.681347,-46.62052
Embu,-23.643717,-46.857854
Embu-Guaçu,-23.829717,-46.813593
Ferraz de Vasconcelos,-23.541056,-46.37097
Francisco Morato,-23.279248,-46.744781
Franco da Rocha,-23.322882,-46.729011
Guararema,-23.411195,-46.036946
Guarulhos,-23.453758,-46.533347
Itapecerica da Serra,-23.716135,-46.857193
Itapevi,-23.548774,-46.932747
Itaquaquecetuba,-23.483481,-46.345724
Jandira,-23.527537,-46.902314
Juquitiba,-23.924381,-47.065332
Mairiporã,-23.31713,-46.589695
Mauá,-23.66767,-46.461263
Mogi das Cruzes,-23.52082,-46.18541
Osasco,-23.53239,-46.791555
Pirapora do Bom Jesus,-23.396487,-46.999103
Poá,-23.533285,-46.347292
Ribeirão Pires,-23.706669,-46.405805
Rio Grande da Serra,-23.743724,-46.397084
Salesópolis,-23.528805,-45.84653
Santa Isabel,-23.317194,-46.223668
Santana de Parnaíba,-23.442514,-46.922215
Santo André,-23.67373,-46.543154
Suzano,-23.544828,-46.311181
São Bernardo do Campo,-23.691412,-46.564617
São Caetano do Sul,-23.62287,-46.554797
São Lourenço da Serra,-23.849134,-46.94316
São Paulo,-23.532905,-46.63952
Taboão da Serra,-23.601867,-46.752637
Vargem Grande Paulista,-23.599338,-47.022038
